# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		593189		63289		54136
1		577352		126136		46555
2		531059		187850		47730
3		416346		245812		47648
4		308346		296195		47604
5		236750		337604		47695
6		205351		372256		47824
7		189137		403010		47899
8		175424		430806		47925
9		169584		456751		47869
10		166957		481635		47842
