# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		4298		2355		1405
1		3829		4508		1513
2		3652		6595		1596
3		3514		8608		1612
4		3417		10569		1613
5		3367		12492		1624
6		3269		14423		1638
7		3211		16306		1675
8		3156		18144		1702
9		3126		19979		1697
10		3066		21756		1682
11		3033		23539		1710
12		3006		25325		1715
13		2970		27068		1736
14		2969		28805		1730
15		2933		30522		1742
16		2918		32223		1742
17		2862		33880		1758
18		2874		35531		1767
19		2868		37199		1752
20		2812		38844		1779
21		2797		40479		1756
22		2816		42081		1757
23		2815		43687		1777
24		2807		45320		1765
25		2785		46944		1760
26		2791		48541		1784
27		2739		50115		1801
28		2754		51718		1796
29		2732		53301		1774
30		2731		54851		1791
31		2735		56428		1775
32		2765		58024		1784
33		2791		59629		1766
34		2774		61252		1816
35		2740		62841		1799
36		2705		64418		1763
37		2701		65960		1791
38		2713		67500		1786
39		2723		69063		1794
40		2726		70622		1776
41		2674		72153		1777
42		2687		73681		1775
43		2686		75218		1773
44		2694		76737		1783
45		2693		78270		1770
46		2711		79812		1794
47		2702		81363		1774
48		2680		82884		1769
49		2699		84413		1773
50		2699		85967		1773
51		2684		87471		1769
52		2698		89023		1776
53		2681		90538		1773
54		2665		92055		1763
55		2690		93576		1764
56		2641		95110		1778
57		2626		96609		1768
58		2610		98090		1762
59		2626		99588		1782
60		2627		101091		1779
61		2595		102555		1795
62		2605		104029		1814
63		2614		105498		1778
64		2646		106998		1767
65		2610		108491		1767
66		2564		110000		1795
67		2541		111462		1794
68		2534		112947		1786
69		2541		114448		1807
70		2510		115922		1815
71		2488		117384		1799
72		2524		118873		1805
73		2523		120322		1780
74		2502		121789		1789
75		2501		123238		1798
76		2471		124689		1809
77		2439		126115		1789
78		2446		127561		1801
79		2421		128994		1783
80		2426		130410		1787
81		2414		131841		1800
82		2461		133289		1808
83		2458		134747		1810
84		2428		136188		1791
85		2428		137581		1808
86		2407		138995		1793
87		2407		140399		1793
88		2384		141768		1801
89		2376		143135		1827
90		2361		144456		1820
91		2332		145783		1802
92		2329		147106		1804
93		2312		148436		1824
94		2301		149744		1822
95		2306		151072		1824
96		2305		152399		1825
97		2288		153707		1834
98		2285		154977		1832
99		2269		156229		1845
100		2246		157491		1837
101		2251		158760		1838
102		2229		160017		1849
103		2208		161270		1854
104		2210		162487		1829
105		2216		163728		1844
106		2228		164987		1831
107		2227		166225		1833
108		2203		167462		1820
109		2211		168668		1792
110		2206		169881		1818
111		2203		171088		1818
112		2191		172311		1818
113		2208		173523		1837
114		2195		174756		1826
115		2182		175931		1837
116		2185		177152		1825
117		2195		178330		1824
118		2212		179541		1825
119		2202		180737		1851
120		2203		181956		1832
121		2215		183183		1839
122		2225		184422		1840
123		2191		185656		1836
124		2205		186854		1829
125		2181		188042		1829
126		2178		189241		1821
127		2179		190443		1817
128		2188		191659		1845
129		2184		192855		1832
130		2167		194069		1816
131		2184		195242		1816
132		2165		196458		1823
133		2189		197624		1802
134		2178		198825		1839
135		2158		199999		1830
136		2162		201184		1821
137		2134		202332		1819
138		2137		203522		1821
139		2143		204663		1822
140		2142		205836		1826
141		2139		207009		1841
142		2148		208167		1834
143		2142		209326		1816
144		2152		210489		1823
145		2158		211648		1812
146		2146		212820		1828
147		2143		213972		1798
148		2145		215132		1817
149		2118		216282		1806
150		2125		217417		1814
151		2142		218561		1820
152		2130		219709		1821
153		2129		220838		1838
154		2131		221989		1819
155		2128		223135		1824
156		2154		224317		1836
157		2136		225476		1823
158		2127		226629		1843
159		2125		227788		1841
160		2127		228939		1845
161		2133		230073		1844
162		2112		231221		1842
163		2121		232387		1829
164		2122		233543		1826
165		2113		234672		1842
166		2127		235825		1823
167		2063		236836		1830
168		2044		237800		1832
169		2004		238747		1821
170		1991		239666		1817
171		1969		240581		1821
172		1961		241487		1829
173		1947		242372		1822
174		1947		243258		1835
175		1925		244136		1828
176		1919		245000		1820
177		1908		245856		1823
178		1902		246701		1819
179		1899		247542		1825
180		1897		248376		1824
181		1892		249213		1828
182		1892		250044		1812
183		1886		250870		1819
184		1883		251694		1823
185		1879		252519		1833
186		1879		253339		1824
187		1870		254146		1828
188		1865		254947		1825
189		1860		255738		1830
190		1860		256530		1831
191		1854		257318		1833
192		1853		258101		1827
193		1847		258880		1830
194		1840		259657		1826
195		1837		260419		1824
196		1838		261180		1824
197		1837		261945		1825
198		1835		262703		1826
199		1840		263467		1823
200		1835		264228		1820
201		1833		264988		1819
202		1832		265749		1822
203		1828		266508		1820
204		1827		267268		1817
205		1827		268024		1816
206		1823		268779		1813
207		1824		269532		1815
208		1823		270285		1813
209		1822		271039		1815
210		1821		271790		1817
211		1819		272540		1816
212		1818		273287		1818
213		1817		274035		1818
214		1817		274780		1819
215		1816		275526		1817
216		1816		276271		1820
217		1816		277018		1817
218		1816		277765		1818
219		1815		278512		1820
220		1813		279256		1821
221		1813		279999		1820
222		1813		280742		1821
223		1813		281485		1820
224		1813		282228		1819
225		1812		282972		1819
226		1811		283712		1820
227		1810		284450		1818
228		1809		285188		1819
229		1810		285925		1819
230		1809		286664		1821
231		1808		287398		1819
232		1808		288131		1820
233		1807		288863		1818
234		1807		289597		1818
235		1806		290327		1818
236		1805		291057		1820
237		1805		291786		1819
238		1805		292515		1820
239		1805		293244		1819
240		1805		293973		1820
241		1805		294702		1820
242		1804		295432		1820
243		1804		296161		1819
244		1804		296890		1820
245		1804		297619		1819
246		1804		298348		1820
247		1804		299077		1819
248		1804		299806		1820
249		1803		300537		1818
