# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		87985		2236		2100
1		60670		3532		2050
2		50484		4207		2033
3		45725		4659		2018
4		44366		4919		2038
5		43447		5098		2028
6		43033		5229		2034
7		42481		5346		2041
8		42204		5449		2037
9		42076		5521		2045
10		41998		5589		2037
11		41840		5660		2042
12		41788		5720		2029
13		41718		5769		2032
14		41631		5818		2030
15		41578		5867		2033
16		41566		5916		2031
17		41543		5963		2029
18		41504		6011		2038
19		41482		6046		2035
20		41408		6095		2033
21		41420		6134		2038
22		41386		6160		2038
23		41379		6198		2037
24		41401		6238		2037
25		41388		6273		2037
26		41377		6294		2040
27		41357		6315		2044
28		41359		6332		2043
29		41349		6357		2037
30		41339		6373		2039
31		41336		6391		2035
32		41350		6404		2042
33		41349		6419		2038
34		41304		6432		2038
35		41293		6451		2037
36		41292		6469		2032
37		41290		6482		2031
38		41283		6501		2035
39		41283		6514		2034
40		41280		6529		2035
41		41276		6541		2038
42		41276		6547		2040
43		41291		6562		2031
44		41287		6575		2031
45		41286		6580		2036
46		41284		6583		2036
47		41285		6592		2037
48		41284		6597		2037
49		41285		6605		2031
50		41287		6615		2034
51		41286		6618		2038
52		41285		6622		2038
53		41287		6629		2037
54		41285		6636		2039
55		41284		6640		2041
56		41285		6645		2041
57		41286		6647		2042
58		41284		6652		2039
59		41281		6662		2044
60		41279		6669		2043
61		41268		6678		2040
62		41258		6690		2042
63		41257		6695		2039
64		41235		6702		2041
65		41239		6707		2041
66		41239		6716		2038
67		41242		6728		2036
68		41240		6740		2038
69		41238		6749		2037
70		41238		6757		2039
71		41224		6767		2032
72		41222		6770		2033
73		41221		6779		2031
74		41221		6788		2032
75		41222		6796		2032
76		41222		6796		2032
77		41222		6802		2035
78		41224		6810		2032
79		41222		6816		2031
80		41224		6827		2027
81		41225		6836		2029
82		41221		6843		2033
83		41221		6848		2033
84		41199		6856		2033
85		41199		6857		2032
86		41199		6861		2028
87		41203		6869		2031
88		41203		6878		2034
89		41203		6891		2030
90		41201		6898		2030
91		41200		6904		2032
92		41200		6909		2032
93		41200		6913		2033
94		41199		6917		2034
95		41198		6922		2035
96		41197		6930		2033
97		41197		6932		2035
98		41197		6935		2033
99		41197		6935		2033
100		41197		6940		2035
101		41197		6945		2036
102		41200		6948		2035
103		41200		6950		2036
104		41200		6955		2034
105		41200		6957		2032
106		41202		6963		2030
107		41200		6968		2031
108		41202		6971		2031
109		41201		6977		2030
110		41201		6983		2032
111		41202		6989		2033
112		41202		6993		2035
113		41203		7001		2034
114		41204		7010		2036
115		41204		7015		2032
116		41202		7021		2033
117		41202		7025		2035
118		41204		7030		2030
119		41204		7036		2029
120		41203		7045		2026
121		41205		7052		2028
122		41205		7058		2025
123		41205		7063		2026
124		41205		7069		2028
125		41203		7075		2028
126		41202		7081		2027
127		41200		7087		2031
128		41205		7095		2029
129		41202		7102		2028
130		41201		7105		2026
131		41201		7106		2025
132		41200		7110		2027
133		41201		7113		2028
